"","Cluster","Country"
"1",8,"Federal Republic of Germany"
"2",8,"Israel"
"3",8,"Taiwan, Province of China"
"4",8,"United States"
"5",7,"Central African Republic"
"6",7,"Chad"
"7",7,"Congo, the Democratic Republic of the"
"8",7,"Czechoslovakia"
"9",7,"Equatorial Guinea"
"10",7,"German Democratic Republic"
"11",7,"Rwanda"
"12",7,"Sao Tome and Principe"
"13",7,"Seychelles"
"14",7,"Yemen Arab Republic"
"15",7,"Yemen People's Republic"
"16",6,"Australia"
"17",6,"Austria"
"18",6,"Belgium"
"19",6,"Canada"
"20",6,"Denmark"
"21",6,"Finland"
"22",6,"France"
"23",6,"Greece"
"24",6,"Iceland"
"25",6,"Ireland"
"26",6,"Italy"
"27",6,"Japan"
"28",6,"Luxembourg"
"29",6,"Netherlands"
"30",6,"New Zealand"
"31",6,"Norway"
"32",6,"Portugal"
"33",6,"Spain"
"34",6,"Sweden"
"35",6,"United Kingdom"
"36",5,"Angola"
"37",5,"Antigua and Barbuda"
"38",5,"Bahamas"
"39",5,"Barbados"
"40",5,"Belize"
"41",5,"Brunei Darussalam"
"42",5,"Cabo Verde"
"43",5,"China"
"44",5,"Comoros"
"45",5,"Djibouti"
"46",5,"Fiji"
"47",5,"Gambia"
"48",5,"Grenada"
"49",5,"Guinea-Bissau"
"50",5,"Malawi"
"51",5,"Mozambique"
"52",5,"Papua New Guinea"
"53",5,"Saint Lucia"
"54",5,"Saint Vincent and the Grenadines"
"55",5,"Samoa"
"56",5,"Solomon Islands"
"57",5,"Suriname"
"58",5,"Swaziland"
"59",5,"Vanuatu"
"60",5,"Viet Nam"
"61",5,"Zimbabwe"
"62",4,"Andorra"
"63",4,"Armenia"
"64",4,"Azerbaijan"
"65",4,"Bosnia and Herzegovina"
"66",4,"Croatia"
"67",4,"Czech Republic"
"68",4,"Dominica"
"69",4,"Eritrea"
"70",4,"Estonia"
"71",4,"Georgia"
"72",4,"Germany"
"73",4,"Kazakhstan"
"74",4,"Kiribati"
"75",4,"Korea, Democratic People's Republic of"
"76",4,"Korea, Republic of"
"77",4,"Kyrgyzstan"
"78",4,"Latvia"
"79",4,"Liechtenstein"
"80",4,"Lithuania"
"81",4,"Macedonia, the former Yugoslav Republic of"
"82",4,"Marshall Islands"
"83",4,"Micronesia, Federated States of"
"84",4,"Moldova, Republic of"
"85",4,"Monaco"
"86",4,"Montenegro"
"87",4,"Namibia"
"88",4,"Nauru"
"89",4,"Palau"
"90",4,"Saint Kitts and Nevis"
"91",4,"San Marino"
"92",4,"Slovakia"
"93",4,"Slovenia"
"94",4,"South Africa"
"95",4,"South Sudan"
"96",4,"Switzerland"
"97",4,"Tajikistan"
"98",4,"Timor-Leste"
"99",4,"Tonga"
"100",4,"Turkmenistan"
"101",4,"Tuvalu"
"102",4,"Uzbekistan"
"103",4,"Yemen"
"104",4,"Zanzibar"
"105",3,"Algeria"
"106",3,"Argentina"
"107",3,"Bahrain"
"108",3,"Bangladesh"
"109",3,"Benin"
"110",3,"Bhutan"
"111",3,"Bolivia, Plurinational State of"
"112",3,"Botswana"
"113",3,"Brazil"
"114",3,"Burkina Faso"
"115",3,"Burundi"
"116",3,"Cambodia"
"117",3,"Cameroon"
"118",3,"Chile"
"119",3,"Colombia"
"120",3,"Congo"
"121",3,"Costa Rica"
"122",3,"Cote d'Ivoire"
"123",3,"Cuba"
"124",3,"Cyprus"
"125",3,"Dominican Republic"
"126",3,"Ecuador"
"127",3,"Egypt"
"128",3,"El Salvador"
"129",3,"Ethiopia"
"130",3,"Gabon"
"131",3,"Ghana"
"132",3,"Guatemala"
"133",3,"Guinea"
"134",3,"Guyana"
"135",3,"Haiti"
"136",3,"Honduras"
"137",3,"India"
"138",3,"Indonesia"
"139",3,"Iran, Islamic Republic of"
"140",3,"Jamaica"
"141",3,"Jordan"
"142",3,"Kenya"
"143",3,"Kuwait"
"144",3,"Lao People's Democratic Republic"
"145",3,"Lebanon"
"146",3,"Lesotho"
"147",3,"Libya"
"148",3,"Madagascar"
"149",3,"Malaysia"
"150",3,"Maldives"
"151",3,"Mali"
"152",3,"Malta"
"153",3,"Mauritania"
"154",3,"Mauritius"
"155",3,"Mexico"
"156",3,"Morocco"
"157",3,"Myanmar"
"158",3,"Nepal"
"159",3,"Nicaragua"
"160",3,"Niger"
"161",3,"Nigeria"
"162",3,"Oman"
"163",3,"Pakistan"
"164",3,"Panama"
"165",3,"Paraguay"
"166",3,"Peru"
"167",3,"Philippines"
"168",3,"Qatar"
"169",3,"Saudi Arabia"
"170",3,"Senegal"
"171",3,"Sierra Leone"
"172",3,"Singapore"
"173",3,"Sri Lanka"
"174",3,"Sudan"
"175",3,"Syrian Arab Republic"
"176",3,"Tanzania, United Republic of"
"177",3,"Thailand"
"178",3,"Togo"
"179",3,"Trinidad and Tobago"
"180",3,"Tunisia"
"181",3,"Turkey"
"182",3,"Uganda"
"183",3,"United Arab Emirates"
"184",3,"Uruguay"
"185",3,"Venezuela, Bolivarian Republic of"
"186",3,"Zambia"
"187",2,"Albania"
"188",2,"Belarus"
"189",2,"Bulgaria"
"190",2,"Hungary"
"191",2,"Mongolia"
"192",2,"Poland"
"193",2,"Romania"
"194",2,"Russian Federation"
"195",2,"Ukraine"
"196",1,"Afghanistan"
"197",1,"Iraq"
"198",1,"Liberia"
"199",1,"Somalia"
"200",1,"Yugoslavia"
