Fecha,FB_LIKES_EPN,FB_LIKES_JVM,FB_LIKES_AMLO,TWITTER_FOLLOWERS_EPN,TWITTER_FOLLOWERS_JVM,TWITTER_FOLLOWERS_AMLO
07/18/11,653231,159471,29620,22743,42891,87178
07/19/11,659672,162518,29711,22814,43066,87301
07/20/11,667731,164808,29815,22881,43325,87463
07/22/11,686251,170731,30097,23248,44161,87929
07/23/11,698471,174117,30265,23358,44458,88142
07/25/11,704766,176657,30344,23439,44655,88260
07/26/11,712602,180207,30467,23518,44945,88382
07/27/11,719909,183614,30545,23608,45180,88526
07/28/11,740776,192767,30878,23858,46034,89024
07/31/11,679042,168687,30005,23183,43945,87794
08/01/11,745592,196021,30950,23922,46387,89168
08/02/11,750212,199559,31068,23995,46891,89330
08/03/11,753978,202543,31148,24041,47126,89478
08/04/11,759206,205527,31264,24109,47401,89652
08/05/11,763735,208529,31380,24163,47558,89792
08/06/11,768607,211730,31471,24214,47706,89913
08/08/11,777722,218538,31640,24324,48015,90111
08/09/11,784036,224568,31742,24436,48265,90268
08/10/11,792052,230137,31837,24477,48537,90439
08/11/11,802829,235306,31937,24538,48744,90590
08/12/11,818842,240325,32079,24604,48991,90765
08/14/11,844544,248693,32283,24714,49469,90967
08/15/11,861404,254111,32422,24777,49883,91167
08/16/11,871639,258415,32533,24857,50203,91297
08/17/11,881138,262390,32635,24914,50514,91396
08/18/11,891720,265862,32737,24985,50768,91581
08/19/11,901439,270007,32877,25029,51091,91739
08/21/11,915848,276261,33058,25123,51518,91984
08/22/11,925326,279386,33193,25206,51804,92196
08/23/11,935013,281373,33326,25281,52090,92358
08/24/11,941758,283192,33403,25336,52264,92480
08/25/11,951764,286767,33567,25447,52684,92772
08/29/11,976585,295238,34086,25735,53659,93542
08/30/11,986522,298605,34282,25858,54081,93809
09/06/11,1003860,325448,35134,26481,56570,95027
09/07/11,1004188,332115,35260,26585,57290,95243
09/08/11,1004470,336587,35260,26655,57602,95438
09/09/11,1005295,345883,35657,26795,58241,95860
09/10/11,1005607,349346,35657,26851,58455,96005
09/11/11,1005979,353357,35849,26909,58706,96157
09/12/11,1006206,357122,35965,26982,59019,96157
09/13/11,1006500,361101,36076,27068,59378,96512
09/14/11,1007446,367825,36265,27273,59946,96897
09/18/11,1007901,372765,36376,27353,60308,97159
09/19/11,1008157,375424,36433,27405,60605,97327
09/20/11,1009707,378903,36563,27633,61286,97575
09/21/11,1010828,382193,36709,27724,61855,97798
09/22/11,1011879,385169,36845,27775,62298,97975
09/27/11,1017636,401346,37481,10314,64839,98973
09/30/11,1020004,406764,37754,10423,65680,99370
10/01/11,1024403,418039,38214,10540,66708,100095
10/06/11,1027198,424654,38488,10600,67313,100485
10/19/11,1037317,465616,40040,11220,70783,102892
10/20/11,1041573,469435,40178,11267,71097,103045
10/24/11,1060144,484074,40692,11520,72153,103711
10/25/11,1064600,487982,40838,11587,72413,103899
11/01/11,1091498,507179,41566,11976,74019,105023
11/14/11,1141345,540257,43717,62285,81723,110209
11/15/11,1144896,541896,43847,65356,82116,110495
11/16/11,1148470,543793,44576,68175,82983,112901
11/17/11,1150975,546205,45784,70825,84140,114577
11/18/11,1153878,548368,47236,73296,84704,116825
11/22/11,1165292,556816,49694,78710,85835,121226
11/23/11,1168600,559611,50408,82131,86338,122053
11/24/11,1175223,562954,50980,86246,86882,123178
11/27/11,1188056,572444,52067,91888,88142,124923
11/28/11,1194182,577607,52545,96493,88695,125488
11/29/11,1198651,581943,52964,98464,90162,126031
11/30/11,1203605,586249,53398,100818,90801,126531
12/01/11,1207911,591117,53830,102959,91368,126940
12/02/11,1211676,595310,54212,104444,91764,127396
12/04/11,1215762,600497,54646,107299,92609,128187
12/05/11,1221686,606846,55231,115614,93841,129399
12/06/11,1225317,611325,55871,140581,96357,131629
12/07/11,1229330,616475,56682,152799,98619,134482
12/08/11,1233000,621553,57443,161724,101324,136657
12/11/11,1240793,629900,58832,174535,107235,143368
12/13/11,1248105,636662,59884,185515,113764,149180
12/15/11,1254976,646070,63067,201854,120621,154999
12/19/11,1259748,656936,66786,220089,132198,165027
12/20/11,1260038,660893,68532,227073,138208,169939
12/21/11,1260523,668705,71840,239032,147713,178516
12/23/11,1260705,671879,72663,242406,150718,181143
12/24/11,1260970,676863,74064,246830,154516,184411
12/25/11,1261062,680846,75244,249628,156972,186553
12/26/11,1261319,685123,76561,252842,159897,189118
12/27/11,1261623,689332,77793,256820,163477,192145
12/28/11,1262121,693740,79151,261938,167454,195517
12/29/11,1262332,697838,80160,265274,170287,197911
12/31/11,1262684,703486,82823,273729,177368,204084
01/01/12,1262788,703586,83435,275226,178550,205001
01/02/12,1262922,703691,84820,278447,181365,207488
01/03/12,1264801,708390,86359,283051,185483,211217
01/04/12,1268513,714452,87217,286821,188835,213650
01/05/12,1277404,722145,88018,292223,192925,217507
01/06/12,1284465,728382,88531,295695,196233,220136
01/07/12,1292962,735159,89176,300029,200036,223476
01/09/12,1306800,746687,90371,305434,203905,226645
01/10/12,1314731,754507,91206,308876,206535,228510
01/11/12,1322229,761903,91985,311973,209235,230364
01/12/12,1329801,769924,92773,316315,212506,232454
01/17/12,1358044,803549,95629,330709,222316,238237
01/18/12,1365004,814236,96606,335326,225138,239723
01/20/12,1372244,825697,97842,341246,228788,241964
01/21/12,1372805,832606,98621,344665,230466,243240
01/23/12,1373795,842180,99526,348093,232098,244524
01/24/12,1374502,850082,100680,351394,233894,245984
01/25/12,1375522,856978,101486,354671,235378,247187
01/26/12,1375781,862194,101993,357141,237423,248125
01/27/12,1376428,867888,102599,359730,239454,249064
01/30/12,1379820,886480,104730,366203,243849,251715
01/31/12,1381655,893864,105646,368833,245028,252696
02/01/12,1383269,900161,106620,371441,247252,253769
